EarNum,MeaDate,Weight,AgeDays,BirWei,Sex,Breed,LittleSize,Lactation,DaysInMilk,ReproStatus,Seasonality,BirthDate,YeanDate
0007NU153181,2015-06-13,67.0,75.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,6,2015-03-30,
0007NU148238,2015-06-03,64.0,466.0,3.5,1.0,NU,3.0,3.0,-1.0,未配種,6,2014-02-22,
0007NU130207,2015-08-06,61.0,915.0,3.5,2.0,NU,4.0,3.0,-1.0,未配種,8,2013-02-02,
0007NU143154,2015-08-11,52.0,382.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,8,2014-07-25,
0007NU150251,2015-08-10,30.9,179.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,8,2015-02-12,
0007NU150252,2015-08-10,26.8,179.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,8,2015-02-12,
0007NU151219,2015-08-10,35.8,199.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,8,2015-01-23,
0007NU151220,2015-08-10,28.5,199.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,8,2015-01-23,
0007NU151221,2015-08-10,35.3,197.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,8,2015-01-25,
0007NU151222,2015-08-10,20.9,197.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,8,2015-01-25,
0007NU152178,2015-08-10,33.2,198.0,3.5,1.0,NU,1.0,3.0,-1.0,未配種,8,2015-01-24,
0007NU152179,2015-08-10,30.6,196.0,3.5,2.0,NU,1.0,3.0,-1.0,未配種,8,2015-01-26,
0007NU152180,2015-08-10,32.0,195.0,3.5,1.0,NU,1.0,3.0,-1.0,未配種,8,2015-01-27,
0007NU153163,2015-08-10,35.1,200.0,3.5,1.0,NU,3.0,3.0,-1.0,未配種,8,2015-01-22,
0007NU153166,2015-08-10,31.4,199.0,3.5,2.0,NU,2.0,4.0,-1.0,懷孕,8,2015-01-23,2018-11-26
0007NU153167,2015-08-10,31.9,199.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,8,2015-01-23,
0007NU153168,2015-08-10,40.0,187.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,8,2015-02-04,
0007NU153169,2015-08-10,33.3,187.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,8,2015-02-04,
0007NU154239,2015-08-10,36.7,204.0,3.5,1.0,NU,3.0,3.0,-1.0,未配種,8,2015-01-18,
0007NU154240,2015-08-10,30.1,204.0,3.5,2.0,NU,3.0,4.0,-1.0,懷孕,8,2015-01-18,2019-08-12
0007NU154241,2015-08-10,26.6,204.0,3.5,2.0,NU,3.0,3.0,-1.0,未配種,8,2015-01-18,
0007NU154242,2015-08-10,33.4,203.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,8,2015-01-19,
0007NU154243,2015-08-10,30.6,203.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,8,2015-01-19,
0007NU147199,2015-09-10,44.0,586.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,9,2014-02-01,
0007NU150251,2015-09-22,35.6,222.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,9,2015-02-12,
0007NU150253,2015-09-22,34.7,215.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,9,2015-02-19,
0007NU156168,2015-09-22,33.3,193.0,3.5,2.0,NU,1.0,9.0,-1.0,懷孕,9,2015-03-13,2021-07-28
0007NU151224,2015-09-22,25.1,191.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,9,2015-03-15,
0007NU152183,2015-09-22,32.1,184.0,3.5,2.0,NU,4.0,2.0,-1.0,懷孕,9,2015-03-22,2017-01-29
0007NU154246,2015-09-22,28.4,191.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,9,2015-03-15,
0007NU154247,2015-09-22,31.5,191.0,3.5,2.0,NU,2.0,7.0,-1.0,懷孕,9,2015-03-15,2021-01-17
0007NU154248,2015-09-22,27.1,189.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,9,2015-03-17,
0007NU154249,2015-09-22,30.4,189.0,3.5,2.0,NU,2.0,6.0,-1.0,懷孕,9,2015-03-17,2020-10-25
0007NU154250,2015-09-22,24.4,187.0,3.5,1.0,NU,1.0,3.0,-1.0,未配種,9,2015-03-19,
0007NU153171,2015-09-22,31.5,186.0,3.5,1.0,NU,1.0,3.0,-1.0,未配種,9,2015-03-20,
0007NU159203,2015-09-22,35.5,185.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,9,2015-03-21,
0007NU159204,2015-09-22,35.2,185.0,3.5,2.0,NU,2.0,5.0,-1.0,懷孕,9,2015-03-21,2019-01-17
0007NU154251,2015-09-22,33.6,185.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,9,2015-03-21,
0007NU154252,2015-09-22,27.6,185.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,9,2015-03-21,
0007NU153172,2015-09-22,21.8,184.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,9,2015-03-22,
0007NU153173,2015-09-22,23.9,184.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,9,2015-03-22,
0007NU152184,2015-09-22,28.4,184.0,3.5,2.0,NU,4.0,3.0,-1.0,未配種,9,2015-03-22,
0007NU151227,2015-09-22,29.5,183.0,3.5,2.0,NU,2.0,5.0,-1.0,懷孕,9,2015-03-23,2019-07-10
0007NU150256,2015-09-22,27.5,183.0,3.5,2.0,NU,2.0,9.0,-1.0,懷孕,9,2015-03-23,2021-02-11
0007NU150257,2015-09-22,28.8,183.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,9,2015-03-23,
0007NU150259,2015-09-22,34.6,184.0,3.5,1.0,NU,3.0,3.0,-1.0,未配種,9,2015-03-22,
0007NU150260,2015-09-22,24.1,184.0,3.5,2.0,NU,3.0,3.0,-1.0,未配種,9,2015-03-22,
0007NU153176,2015-09-22,25.1,181.0,3.5,1.0,NU,3.0,3.0,-1.0,未配種,9,2015-03-25,
0007NU153177,2015-09-22,21.3,181.0,3.5,1.0,NU,3.0,3.0,-1.0,未配種,9,2015-03-25,
0007NU153178,2015-09-22,32.1,181.0,3.5,1.0,NU,3.0,3.0,-1.0,未配種,9,2015-03-25,
0007NU150261,2015-09-22,29.4,181.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,9,2015-03-25,
0007NU150262,2015-09-22,24.2,181.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,9,2015-03-25,
0007NU154245,2015-09-22,33.4,202.0,3.5,2.0,NU,1.0,3.0,-1.0,懷孕,9,2015-03-04,2017-09-24
0007NU154262,2015-10-02,13.8,98.0,3.5,1.0,NU,3.0,3.0,-1.0,未配種,10,2015-06-26,
0007NU154263,2015-10-02,9.2,98.0,3.5,1.0,NU,3.0,3.0,-1.0,未配種,10,2015-06-26,
0007NU154264,2015-10-02,4.3,98.0,3.5,2.0,NU,3.0,3.0,-1.0,未配種,10,2015-06-26,
0007NU152186,2015-10-02,19.3,130.0,3.5,1.0,NU,3.0,3.0,-1.0,未配種,10,2015-05-25,
0007NU152187,2015-10-02,13.7,130.0,3.5,2.0,NU,3.0,3.0,-1.0,未配種,10,2015-05-25,
0007NU151229,2015-10-02,17.8,90.0,3.5,1.0,NU,1.0,3.0,-1.0,未配種,10,2015-07-04,
0007NU156174,2015-10-02,17.5,95.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,10,2015-06-29,
0007NU156175,2015-10-02,18.9,95.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,10,2015-06-29,
0007NU141187,2015-10-03,48.0,453.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,10,2014-07-07,
0007NU147213,2015-10-08,53.0,532.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,10,2014-04-24,
0007NU149194,2015-10-17,58.0,340.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,10,2014-11-11,
0007NU143144,2015-10-17,47.0,619.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,10,2014-02-05,
0007NU159214,2015-10-19,21.9,97.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,10,2015-07-14,
0007NU159215,2015-10-19,20.4,97.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,10,2015-07-14,
0007NU159205,2015-10-19,23.6,100.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,10,2015-07-11,
0007NU159206,2015-10-19,18.2,100.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,10,2015-07-11,
0007NU159207,2015-10-19,19.8,100.0,3.5,1.0,NU,3.0,3.0,-1.0,未配種,10,2015-07-11,
0007NU159208,2015-10-19,15.4,100.0,3.5,2.0,NU,3.0,3.0,-1.0,未配種,10,2015-07-11,
0007NU159209,2015-10-19,17.7,100.0,3.5,2.0,NU,3.0,3.0,-1.0,未配種,10,2015-07-11,
0007NU159210,2015-10-19,16.4,100.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,10,2015-07-11,
0007NU159211,2015-10-19,20.3,100.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,10,2015-07-11,
0007NU159212,2015-10-19,17.3,99.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,10,2015-07-12,
0007NU159213,2015-10-19,17.6,99.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,10,2015-07-12,
0007NU158276,2015-10-19,18.2,88.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,10,2015-07-23,
0007NU158277,2015-10-19,16.4,88.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,10,2015-07-23,
0007NU144219,2015-10-30,63.0,579.0,3.5,2.0,NU,2.0,4.0,-1.0,懷孕,10,2014-03-30,2018-03-12
0007NU150251,2015-11-04,47.8,265.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,11,2015-02-12,
0007NU150252,2015-11-04,41.4,265.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,11,2015-02-12,
0007NU151219,2015-11-04,47.6,285.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,11,2015-01-23,
0007NU151220,2015-11-04,41.3,285.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,11,2015-01-23,
0007NU151221,2015-11-04,45.4,283.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,11,2015-01-25,
0007NU151222,2015-11-04,32.7,283.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,11,2015-01-25,
0007NU152178,2015-11-04,51.1,284.0,3.5,1.0,NU,1.0,3.0,-1.0,未配種,11,2015-01-24,
0007NU152179,2015-11-04,44.3,282.0,3.5,2.0,NU,1.0,3.0,-1.0,未配種,11,2015-01-26,
0007NU152180,2015-11-04,42.5,281.0,3.5,1.0,NU,1.0,3.0,-1.0,未配種,11,2015-01-27,
0007NU153163,2015-11-04,51.5,286.0,3.5,1.0,NU,3.0,3.0,-1.0,未配種,11,2015-01-22,
0007NU153166,2015-11-04,44.4,285.0,3.5,2.0,NU,2.0,4.0,-1.0,懷孕,11,2015-01-23,2018-11-26
0007NU153167,2015-11-04,43.5,285.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,11,2015-01-23,
0007NU153168,2015-11-04,50.6,273.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,11,2015-02-04,
0007NU153169,2015-11-04,48.0,273.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,11,2015-02-04,
0007NU154239,2015-11-04,47.3,290.0,3.5,1.0,NU,3.0,3.0,-1.0,未配種,11,2015-01-18,
0007NU154240,2015-11-04,54.9,290.0,3.5,2.0,NU,3.0,4.0,-1.0,懷孕,11,2015-01-18,2019-08-12
0007NU154241,2015-11-04,40.3,290.0,3.5,2.0,NU,3.0,3.0,-1.0,未配種,11,2015-01-18,
0007NU154242,2015-11-04,51.3,289.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,11,2015-01-19,
0007NU154243,2015-11-04,46.0,289.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,11,2015-01-19,
0007NU154244,2015-11-04,42.7,284.0,3.5,2.0,NU,1.0,3.0,-1.0,未配種,11,2015-01-24,
0007NU156166,2015-11-04,44.8,290.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,11,2015-01-18,
0007NU156167,2015-11-04,43.0,290.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,11,2015-01-18,
0007NU158265,2015-11-04,42.1,281.0,3.5,1.0,NU,3.0,3.0,-1.0,未配種,11,2015-01-27,
0007NU158270,2015-11-04,46.8,280.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,11,2015-01-28,
0007NU158271,2015-11-04,38.9,280.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,11,2015-01-28,
0007NU158274,2015-11-04,50.0,273.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,11,2015-02-04,
0007NU158275,2015-11-04,42.1,273.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,11,2015-02-04,
0007NU159200,2015-11-04,56.0,282.0,3.5,1.0,NU,1.0,3.0,-1.0,未配種,11,2015-01-26,
0007NU159201,2015-11-04,47.0,280.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,11,2015-01-28,
0007NU147215,2015-11-09,60.0,563.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,11,2014-04-25,
0007NU147212,2015-11-16,63.0,571.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,11,2014-04-24,
0007NU151216,2015-12-04,51.0,327.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,12,2015-01-11,
0007NU133125,2015-12-05,64.0,769.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,12,2013-10-27,
0007NU118159,2015-12-12,104.0,1525.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,12,2011-10-09,
0007NU113067,2015-12-12,89.0,1501.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,12,2011-11-02,
0007NU132169,2015-12-12,103.0,993.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,12,2013-03-24,
0007NU147209,2015-12-15,62.0,601.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,12,2014-04-23,
0007NU147207,2015-12-21,67.0,610.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,12,2014-04-20,
0007NU159216,2016-01-02,22.8,95.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,1,2015-09-29,
0007NU159217,2016-01-02,23.6,95.0,3.4,2.0,NU,2.0,3.0,-1.0,未配種,1,2015-09-29,
0007NU159218,2016-01-02,21.3,94.0,3.3,1.0,NU,3.0,3.0,-1.0,未配種,1,2015-09-30,
0007NU159219,2016-01-02,20.3,94.0,3.1,2.0,NU,3.0,3.0,-1.0,未配種,1,2015-09-30,
0007NU159220,2016-01-02,17.5,94.0,3.4,2.0,NU,3.0,3.0,-1.0,懷孕,1,2015-09-30,2018-09-04
0007NU159221,2016-01-02,25.6,92.0,3.5,1.0,NU,1.0,3.0,-1.0,未配種,1,2015-10-02,
0007NU151230,2016-01-02,12.9,86.0,2.6,2.0,NU,2.0,3.0,-1.0,未配種,1,2015-10-08,
0007NU151231,2016-01-02,16.0,86.0,2.8,2.0,NU,2.0,3.0,-1.0,未配種,1,2015-10-08,
0007NU159222,2016-01-02,25.0,89.0,4.1,2.0,NU,1.0,3.0,-1.0,未配種,1,2015-10-05,
0007NU156176,2016-01-02,19.9,96.0,3.3,1.0,NU,2.0,3.0,-1.0,未配種,1,2015-09-28,
0007NU156177,2016-01-02,19.1,96.0,3.2,2.0,NU,2.0,4.0,-1.0,懷孕,1,2015-09-28,2019-12-22
0007NU156178,2016-01-02,21.9,89.0,4.2,1.0,NU,2.0,3.0,-1.0,未配種,1,2015-10-05,
0007NU156179,2016-01-02,18.3,89.0,3.2,2.0,NU,2.0,3.0,-1.0,未配種,1,2015-10-05,
0007NU151198,2016-01-20,56.1,383.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,1,2015-01-02,
0007NU141197,2016-01-20,77.4,389.0,3.5,1.0,NU,1.0,3.0,-1.0,未配種,1,2014-12-27,
0007NU151202,2016-01-20,49.2,381.0,3.5,1.0,NU,1.0,3.0,-1.0,未配種,1,2015-01-04,
0007NU151203,2016-01-20,69.6,380.0,3.5,1.0,NU,1.0,3.0,-1.0,未配種,1,2015-01-05,
0007NU151206,2016-01-20,33.4,379.0,3.5,1.0,NU,3.0,3.0,-1.0,未配種,1,2015-01-06,
0007NU154227,2016-01-20,56.0,376.0,3.5,1.0,NU,1.0,3.0,-1.0,未配種,1,2015-01-09,
0007NU151217,2016-01-20,56.4,372.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,1,2015-01-13,
0007NU151218,2016-01-20,59.5,372.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,1,2015-01-13,
0007NU154230,2016-01-20,62.0,372.0,3.5,1.0,NU,3.0,3.0,-1.0,未配種,1,2015-01-13,
0007NU154231,2016-01-20,68.8,372.0,3.5,1.0,NU,3.0,3.0,-1.0,未配種,1,2015-01-13,
0007NU150246,2016-01-20,72.0,371.0,3.5,1.0,NU,3.0,3.0,-1.0,未配種,1,2015-01-14,
0007NU154233,2016-01-20,63.6,371.0,3.5,1.0,NU,3.0,3.0,-1.0,未配種,1,2015-01-14,
0007NU154234,2016-01-20,67.4,371.0,3.5,1.0,NU,3.0,3.0,-1.0,未配種,1,2015-01-14,
0007NU154236,2016-01-20,72.3,370.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,1,2015-01-15,
0007NU159198,2016-01-20,65.4,370.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,1,2015-01-15,
0007NU152177,2016-01-20,61.7,369.0,3.5,1.0,NU,1.0,3.0,-1.0,未配種,1,2015-01-16,
0007NU151202,2016-01-26,47.0,387.0,3.5,1.0,NU,1.0,3.0,-1.0,未配種,1,2015-01-04,
0007NU158275,2016-02-02,44.0,363.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,2,2015-02-04,
0007NU139164,2016-01-17,72.0,1070.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,1,2013-02-11,
0007NU152180,2016-02-05,57.0,374.0,3.5,1.0,NU,1.0,3.0,-1.0,未配種,2,2015-01-27,
0007NU158267,2016-02-13,44.0,382.0,3.5,1.0,NU,3.0,3.0,-1.0,未配種,2,2015-01-27,
0007NU150269,2016-06-06,37.0,182.0,4.4,1.0,NU,2.0,3.0,-1.0,未配種,6,2015-12-07,
0007NU150271,2016-06-06,33.0,181.0,4.0,1.0,NU,2.0,3.0,-1.0,未配種,6,2015-12-08,
0007NU150274,2016-06-06,36.0,180.0,5.2,1.0,NU,2.0,3.0,-1.0,未配種,6,2015-12-09,
0007NU150276,2016-06-06,29.5,179.0,4.3,1.0,NU,1.0,3.0,-1.0,未配種,6,2015-12-10,
0007NU150277,2016-06-06,28.0,179.0,4.8,1.0,NU,2.0,3.0,-1.0,未配種,6,2015-12-10,
0007NU152189,2016-06-06,40.0,194.0,6.3,1.0,NU,2.0,3.0,-1.0,未配種,6,2015-11-25,
0007NU152193,2016-06-06,27.0,188.0,4.2,1.0,NU,1.0,3.0,-1.0,未配種,6,2015-12-01,
0007NU152196,2016-06-06,32.0,179.0,5.1,1.0,NU,1.0,3.0,-1.0,未配種,6,2015-12-10,
0007NU153197,2016-06-06,34.5,181.0,3.9,1.0,NU,2.0,3.0,-1.0,未配種,6,2015-12-08,
0007NU154265,2016-06-06,38.0,199.0,4.7,1.0,NU,2.0,3.0,-1.0,未配種,6,2015-11-20,
0007NU154266,2016-06-06,39.0,199.0,4.3,1.0,NU,2.0,3.0,-1.0,未配種,6,2015-11-20,
0007NU154269,2016-06-06,32.0,194.0,4.0,1.0,NU,2.0,3.0,-1.0,未配種,6,2015-11-25,
0007NU154271,2016-06-06,38.0,194.0,5.1,1.0,NU,2.0,3.0,-1.0,未配種,6,2015-11-25,
0007NU154272,2016-06-06,25.0,194.0,4.4,1.0,NU,2.0,3.0,-1.0,未配種,6,2015-11-25,
0007NU154276,2016-06-06,29.0,190.0,4.3,1.0,NU,2.0,3.0,-1.0,未配種,6,2015-11-29,
0007NU154278,2016-06-06,32.0,185.0,5.2,1.0,NU,2.0,3.0,-1.0,未配種,6,2015-12-04,
0007NU154280,2016-06-06,26.0,185.0,4.1,1.0,NU,1.0,3.0,-1.0,未配種,6,2015-12-04,
0007NU151237,2016-06-06,45.0,231.0,3.6,1.0,NU,2.0,3.0,-1.0,未配種,6,2015-10-19,
0007NU151239,2016-06-06,39.0,231.0,3.3,1.0,NU,1.0,3.0,-1.0,未配種,6,2015-10-19,
0007NU152188,2016-06-06,42.0,226.0,3.8,1.0,NU,1.0,3.0,-1.0,未配種,6,2015-10-24,
0007NU156180,2016-06-06,44.0,227.0,4.2,1.0,NU,2.0,3.0,-1.0,未配種,6,2015-10-23,
0007NU156178,2016-06-06,52.0,245.0,4.2,1.0,NU,2.0,3.0,-1.0,未配種,6,2015-10-05,
0007NU159218,2016-06-06,51.0,250.0,3.3,1.0,NU,3.0,3.0,-1.0,未配種,6,2015-09-30,
0007NU159221,2016-06-06,50.0,248.0,3.5,1.0,NU,1.0,3.0,-1.0,未配種,6,2015-10-02,
0007NU156176,2016-06-06,37.0,252.0,3.3,1.0,NU,2.0,3.0,-1.0,未配種,6,2015-09-28,
0007NU158271,2016-05-21,56.0,479.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,5,2015-01-28,
0007NU153172,2016-03-31,54.0,375.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,3,2015-03-22,
0007NU138200,2016-08-19,109.0,1242.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,8,2013-03-26,
0007NU118138,2016-08-19,118.0,2000.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,8,2011-02-27,
0007NU166197,2016-08-26,18.8,106.0,3.2,1.0,NU,1.0,3.0,-1.0,未配種,8,2016-05-12,
0007NU166195,2016-08-26,18.8,110.0,3.1,1.0,NU,2.0,3.0,-1.0,未配種,8,2016-05-08,
0007NU166196,2016-08-26,12.5,110.0,2.3,2.0,NU,2.0,3.0,-1.0,未配種,8,2016-05-08,
0007NU166199,2016-08-26,14.1,104.0,2.8,1.0,NU,2.0,3.0,-1.0,未配種,8,2016-05-14,
0007NU166200,2016-08-26,11.5,104.0,2.6,1.0,NU,2.0,3.0,-1.0,未配種,8,2016-05-14,
0007NU166198,2016-08-26,18.5,105.0,3.3,2.0,NU,1.0,3.0,-1.0,未配種,8,2016-05-13,
0007NU166202,2016-08-26,20.8,100.0,4.9,1.0,NU,1.0,3.0,-1.0,未配種,8,2016-05-18,
0007NU166193,2016-08-26,29.7,111.0,3.7,1.0,NU,3.0,3.0,-1.0,未配種,8,2016-05-07,
0007NU166201,2016-08-26,26.9,104.0,3.8,1.0,NU,1.0,3.0,-1.0,未配種,8,2016-05-14,
0007NU164305,2016-08-26,22.0,89.0,3.1,1.0,NU,2.0,3.0,-1.0,未配種,8,2016-05-29,
0007NU160301,2016-08-26,17.4,110.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,8,2016-05-08,
0007NU160302,2016-08-26,13.3,110.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,8,2016-05-08,
0007NU160303,2016-08-26,17.9,105.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,8,2016-05-13,
0007NU160304,2016-08-26,20.9,105.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,8,2016-05-13,
0007NU169227,2016-06-29,26.9,111.0,3.7,1.0,NU,2.0,3.0,-1.0,未配種,6,2016-03-10,
0007NU169229,2016-06-29,14.9,100.0,4.7,1.0,NU,2.0,3.0,-1.0,未配種,6,2016-03-21,
0007NU168300,2016-06-29,9.1,103.0,4.5,1.0,NU,2.0,3.0,-1.0,未配種,6,2016-03-18,
0007NU168301,2016-06-29,14.0,103.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,6,2016-03-18,
